probeset_id	gene_symbol	Plasma	Memory	Naive	GC	Highly Expressed in B cells (PBMC) and highly expressed in B cell subsets
209507_at	RPA3	10.67871665	11.64586344	8.428260005	12.92195372	GC-
210334_x_at	BIRC5	7.932917601	7.55577895	7.179520154	10.08102243	GC-
210416_s_at	CHEK2	8.221503792	9.135891343	6.790002043	9.635198522	GC-
210450_at	LOC90925	9.162148115	9.310896561	8.670635764	10.93487005	GC-
210640_s_at	GPER	8.095420839	6.948723341	5.93676783	8.546658517	GC-
210821_x_at	CENPA	8.300519307	7.858552038	7.139042252	9.793348625	GC-
210829_s_at	SSBP2	8.35881616	9.870677214	8.090553475	12.22409745	GC-
211080_s_at	NEK2	7.492879013	6.818272058	5.971476684	9.430688594	GC-
211519_s_at	KIF2C	8.693416676	7.307044704	8.122997366	10.37578181	GC-
212379_at	GART	8.747508728	9.282290301	5.936402238	9.79586718	GC-
212525_s_at	H2AFX	8.057538425	7.663977365	8.118516843	9.063955421	GC-
212985_at	APBB2	6.922610206	6.394563087	7.710180084	8.206428859	GC-
213419_at	APBB2	4.617749377	4.375613686	6.150953552	6.779358308	GC-
213664_at	SLC1A1	7.363461108	7.829800825	6.208157651	10.51953679	GC-
214710_s_at	CCNB1	8.998841107	9.89874437	6.325275363	12.84122139	GC-
215711_s_at	WEE1	7.860474464	9.312382335	5.544818274	11.04073325	GC-
215734_at	C19orf36	7.507792243	6.678296357	5.565944271	8.079809564	GC-
216026_s_at	POLE	8.093640182	7.583764777	6.889941336	9.573447953	GC-
216241_s_at	TCEA1	13.59983139	13.60351392	11.12693474	14.7088628	GC-
216615_s_at	HTR3A	9.38876605	10.51386781	7.147553555	11.66710555	GC-
218073_s_at	TMEM48	9.179861668	9.521691431	5.658596366	11.76550779	GC-
218418_s_at	KANK2	8.524524681	7.61963141	6.996069444	10.97304701	GC-
218692_at	GOLSYN	7.856265125	9.85549223	9.780372904	11.85162527	GC-
218741_at	CENPM	8.083543675	9.901614612	8.024901669	11.6781263	GC-
218842_at	RPAP3	10.20769853	10.70897461	8.2331623	11.75577987	GC-
219271_at	GALNT14	7.484957735	7.161826283	5.748119022	10.53003471	GC-
219471_at	C13orf18	9.665991044	12.53226341	11.92852424	13.31788718	GC-
219703_at	MNS1	7.058683292	6.739453001	6.084315606	8.51426916	GC-
219753_at	STAG3	7.813826549	9.978744193	9.877958193	11.79563349	GC-
219840_s_at	TCL6	7.078327095	5.486793494	6.725030203	9.249852014	GC-
220068_at	VPREB3	10.69960464	12.27605473	9.833414487	13.62912369	GC-
220588_at	BCAS4	8.231278703	10.11728591	7.004184923	11.57358218	GC-
221234_s_at	BACH2	8.807378474	10.91062799	11.5156677	13.24339678	GC-
221781_s_at	DNAJC10	10.7431075	11.26580133	8.045291013	12.3155402	GC-
35150_at	CD40	11.07002155	11.29783103	10.03925473	12.0742791	GC-
38521_at	CD22	10.10128425	12.46984431	13.22992714	13.48314628	GC-
203820_s_at	IGF2BP3	8.023486438	9.551245092	8.289639647	11.58409003	GC-
204430_s_at	SLC2A5	9.662066896	9.858763345	10.70558843	12.71013803	GC-
204603_at	EXO1	7.557861919	6.15888359	6.429844418	9.203477543	GC-
206310_at	SPINK2	8.291425683	7.248788803	5.250545907	10.43814366	GC-
209956_s_at	CAMK2B	6.801775825	6.281749186	7.193420914	8.058267173	GC-
211379_x_at	B3GALNT1	6.350878865	5.941075508	5.467402682	8.549752616	GC-
211812_s_at	B3GALNT1	5.367945473	5.350927856	6.003520572	7.845861072	GC-
212094_at	PEG10	6.377864266	7.661486826	6.820916628	10.71190388	GC-
212589_at	RRAS2	10.38346737	11.40410458	10.75485159	12.70775642	GC-
212590_at	RRAS2	10.96479495	10.75239411	10.34032187	12.89031666	GC-
213122_at	TSPYL5	8.602084264	9.774270445	8.983537272	10.56729226	GC-
219080_s_at	CTPS2	8.772033276	8.539214789	6.867139075	10.40892216	GC-
219396_s_at	NEIL1	9.375665254	10.40316609	10.28720305	13.15782833	GC-
219493_at	SHCBP1	9.177057205	9.06209931	5.85871509	11.94286326	GC-
201710_at	MYBL2	8.800245327	8.520612379	6.216922312	12.21266804	GC-
209152_s_at	TCF3	9.889535042	8.940035008	8.230552244	11.1443177	GC-
221586_s_at	E2F5	10.45745639	10.49880752	7.351646398	12.46113792	GC-
201188_s_at	ITPR3	9.611187255	10.35777004	6.790914292	10.66304306	GC-
201663_s_at	SMC4	10.41514856	10.66795514	6.54529066	12.87516287	GC-
204795_at	PRR3	7.258681312	7.435026665	5.841755076	8.733216654	GC-
204875_s_at	GMDS	9.924686913	9.747457587	5.547424491	12.47163157	GC-
209817_at	PPP3CB	10.27741707	9.530045991	8.402904542	11.37208899	GC-
210656_at	EED	6.836593461	8.659186825	5.602037691	9.212784123	GC-
210983_s_at	MCM7	9.166102951	10.48131437	7.001273867	12.30496768	GC-
218782_s_at	ATAD2	8.280988474	9.367457123	6.779622744	11.25202507	GC-
220132_s_at	CLEC2D	8.996936549	10.66426729	5.874147296	11.69049912	GC-
220789_s_at	TBRG4	7.361889681	8.234791747	5.786765887	8.737978897	GC-
221505_at	ANP32E	12.33447948	12.75830441	10.15485525	13.8428924	GC-
200644_at	MARCKSL1	10.58730905	11.31379593	10.24998968	14.30469464	GC-
201560_at	CLIC4	13.21785538	12.51971278	11.1979769	13.69655485	GC-
202204_s_at	AMFR	9.494506732	8.916826259	7.217610192	10.02079077	GC-
202668_at	EFNB2	8.218611528	7.166992828	5.196163365	8.660204748	GC-
203504_s_at	ABCA1	8.723646821	8.960895029	7.3240826	9.762730725	GC-
203767_s_at	STS	8.59770013	7.960704416	6.524791736	9.251123243	GC-
204445_s_at	ALOX5	8.692532412	9.699846611	8.550855786	10.12027639	GC-
205801_s_at	RASGRP3	11.45158507	11.81617375	11.07292453	12.56678334	GC-
208686_s_at	BRD2	10.47990397	9.764492561	5.548894001	10.81990408	GC-
211450_s_at	MSH6	9.442090334	9.668891047	4.872763685	11.60126763	GC-
214359_s_at	HSP90AB1	11.83871823	12.81428521	6.226524778	12.99827871	GC-
214366_s_at	ALOX5	8.244789962	10.14036635	7.856559703	10.64641825	GC-
215346_at	CD40	9.624359049	11.02578709	10.17728073	11.60678651	GC-
217294_s_at	ENO1	10.89105958	11.90106797	7.55830331	12.96784191	GC-
202732_at	PKIG	9.952861726	12.78507068	12.21437438	11.50256079	Memory-
204689_at	HHEX	8.582449948	11.9737104	10.84399961	11.18531178	Memory-
205229_s_at	COCH	8.039515534	11.94065939	6.710898712	8.983470806	Memory-
205547_s_at	TAGLN	7.772716264	9.504614186	8.309641337	7.212041288	Memory-
206759_at	FCER2	7.771136263	9.561002366	7.954286626	8.020452982	Memory-
207169_x_at	DDR1	6.986168639	9.119340145	6.21836014	7.475882261	Memory-
207333_at	NMBR	6.897326829	6.609752156	4.448844364	4.321321254	Memory-
208269_s_at	ADAM28	8.12640061	10.09334054	5.924666445	8.822258044	Memory-
208650_s_at	CD24	8.440690382	12.61038343	9.887002329	10.53081389	Memory-
208651_x_at	CD24	9.283635102	11.46978556	9.055555049	10.36069036	Memory-
208712_at	CCND1	6.20756614	6.471940726	5.061220016	2.822679307	Memory-
209771_x_at	CD24	10.65910185	14.30685425	12.6194657	12.21810816	Memory-
209772_s_at	CD24	6.711931211	10.63613862	8.880029452	8.699002341	Memory-
213436_at	PCDHA4	8.560269521	10.49708393	7.777034011	9.514142971	Memory-
214238_at	NA	7.212097398	10.01885618	8.71945354	7.788514602	Memory-
215967_s_at	LY9	10.40026154	11.34300287	10.10316638	10.29894855	Memory-
216898_s_at	COL4A3	7.720949582	8.915004161	7.705055974	6.843473608	Memory-
218949_s_at	QRSL1	9.672926888	12.21345333	10.59382878	11.50872936	Memory-
219313_at	GRAMD1C	8.808863121	10.39230396	6.510008336	9.68519008	Memory-
219527_at	MOSC2	6.807476042	9.597931339	7.512387825	6.672630551	Memory-
219836_at	ZBED2	6.859944199	11.64858442	7.062078522	8.405644587	Memory-
220118_at	ZBTB32	6.560085256	9.769570716	6.148504476	4.584581006	Memory-
221636_s_at	MOSC2	8.490671468	10.23954128	7.288779645	7.929588352	Memory-
266_s_at	CD24	9.097337538	12.36180397	10.58427772	10.55270484	Memory-
205987_at	CD1C	7.564473391	12.52242967	10.57948874	10.52111672	Memory-
208268_at	ADAM28	8.451576229	11.71948995	8.485415204	9.700008179	Memory-
212492_s_at	KDM4B	10.29894306	12.60122229	10.72941899	10.90761213	Memory-
216379_x_at	KIAA1919	10.61659845	14.2866341	12.70987312	12.10853138	Memory-
221047_s_at	MARK1	6.854838065	9.016099844	8.187158012	7.980946349	Memory-
222073_at	COL4A3	9.732313348	12.22515904	9.001733852	8.445849466	Memory-
204866_at	PHF16	8.297010863	10.01940583	6.875775508	7.146787951	Memory-
203156_at	AKAP11	11.0254562	12.50366293	9.489050652	11.63102518	Memory-
208206_s_at	RASGRP2	7.978496303	10.8552233	9.742690602	10.12837486	Memory-
212914_at	CBX7	10.72652572	10.95686815	9.731897527	9.281692149	Memory-
221602_s_at	FAIM3	8.089827394	12.62043595	9.532220591	9.744158812	Memory-
200869_at	RPL18A	15.67060398	17.05581442	11.13940268	16.00779712	Memory-
203904_x_at	CD82	9.914028849	11.06195452	8.48106309	10.02070912	Memory-
204638_at	ACP5	9.408061307	11.56110909	9.876331078	8.993628958	Memory-
212841_s_at	PPFIBP2	10.22543331	10.68221539	9.613522205	9.404571124	Memory-
212923_s_at	C6orf145	8.194882566	9.273241314	9.11025231	6.844274066	Memory-
213142_x_at	PION	10.10100784	13.08253766	10.78641212	11.08769173	Memory-
215537_x_at	DDAH2	7.104725522	9.54084465	6.861801378	7.853433311	Memory-
217552_x_at	CR1	7.187169217	11.33378038	8.35883235	8.987227408	Memory-
219500_at	CLCF1	8.209378086	9.311725373	8.491797674	7.874170971	Memory-
219546_at	BMP2K	7.067477721	11.11963194	9.926066558	10.42610778	Memory-
59644_at	BMP2K	8.668466541	11.32207457	10.2031854	10.72364156	Memory-
202770_s_at	CCNG2	10.0648462	12.17907387	9.289659447	12.1782552	Memory-GC-
204257_at	FADS3	9.417422579	11.56819846	10.23885349	11.45124574	Memory-GC-
204674_at	LRMP	12.00583096	13.89157386	11.35935873	15.4014602	Memory-GC-
204761_at	USP6NL	9.299669958	11.07144448	9.826988827	11.4307205	Memory-GC-
205544_s_at	CR2	9.904577024	13.63350057	10.87924451	13.37787262	Memory-GC-
206398_s_at	CD19	11.07728044	14.01471534	10.38905764	13.60223188	Memory-GC-
206693_at	IL7	5.532008208	10.68186447	7.123930768	9.441039094	Memory-GC-
207124_s_at	GNB5	7.953289907	10.66057929	8.953096848	10.28276628	Memory-GC-
207826_s_at	ID3	6.766931023	12.24868379	9.640956795	11.12859695	Memory-GC-
208820_at	PTK2	6.993413008	11.05348416	9.610200944	11.97777336	Memory-GC-
209999_x_at	SOCS1	4.53711903	7.267258424	5.086391756	7.75316441	Memory-GC-
210356_x_at	MS4A1	11.42880138	15.9601441	13.72828291	15.13667148	Memory-GC-
211559_s_at	CCNG2	9.080523913	11.52854388	6.167334516	11.5220194	Memory-GC-
215933_s_at	HHEX	8.171578024	12.480583	9.76911416	11.46651625	Memory-GC-
216734_s_at	NA	6.03230684	8.84616238	6.182114718	8.892957248	Memory-GC-
216944_s_at	ITPR1	7.381942972	11.57552792	8.189583742	10.65654628	Memory-GC-
217002_s_at	HTR3A	4.955881101	8.974611314	5.776231124	10.34273781	Memory-GC-
217418_x_at	MS4A1	11.15035529	15.8707496	13.52447103	15.07603399	Memory-GC-
218922_s_at	LASS4	4.837056905	9.515699758	6.539711624	9.393307837	Memory-GC-
219517_at	ELL3	8.600381293	12.51913632	11.1140199	14.8063968	Memory-GC-
219518_s_at	ELL3	7.731571064	11.50262059	9.737835826	14.12449329	Memory-GC-
219841_at	AICDA	7.173684522	9.404240254	5.827543545	13.13966361	Memory-GC-
35974_at	LRMP	11.36785079	13.45676867	10.49915331	15.11772241	Memory-GC-
217422_s_at	CD22	7.564171247	11.51894798	7.855822702	12.14485701	Memory-GC-
204005_s_at	PAWR	7.929699947	9.900725658	8.767024949	10.16427928	Memory-GC-
210279_at	GPR18	7.613530621	13.18276325	10.85071515	13.92466355	Memory-GC-
220059_at	STAP1	12.1268535	13.51028388	12.3271246	13.74225974	Memory-GC-
205861_at	SPIB	8.486101139	12.13562861	11.09544023	12.36618109	Memory-GC-
219497_s_at	BCL11A	10.38518386	12.72005836	10.72543705	13.07033364	Memory-GC-
202726_at	LIG1	7.91398104	9.538573107	5.756455969	10.78483797	Memory-GC-
206513_at	AIM2	11.24355072	13.64977241	7.475086109	13.063454	Memory-GC-
208611_s_at	SPTAN1	9.121693536	11.43196375	6.799388243	11.56490462	Memory-GC-
209671_x_at	TRAC	8.516714317	12.18727242	7.411517375	11.82500198	Memory-GC-
209760_at	KIAA0922	10.24301185	12.3514201	10.07820101	13.46448183	Memory-GC-
210972_x_at	TRA@	8.9332432	12.27243988	6.762602702	12.02320044	Memory-GC-
211902_x_at	TRAC	8.420988807	12.11895781	7.017925877	11.50344658	Memory-GC-
214048_at	MBD4	9.182672834	11.56780887	7.807570018	12.04104112	Memory-GC-
221580_s_at	TAF1D	10.57460537	12.81785811	10.75605911	12.71604373	Memory-GC-
201259_s_at	SYPL1	10.94506582	13.19734581	8.119419397	13.45624669	Memory-GC-
201332_s_at	STAT6	7.031075729	9.375338501	6.948639538	9.189476996	Memory-GC-
204032_at	BCAR3	9.677796119	10.82846263	8.027798415	11.32958258	Memory-GC-
204192_at	CD37	10.74314445	14.64131	9.023364396	14.27457469	Memory-GC-
205153_s_at	CD40	9.094810168	10.97999606	7.23785962	11.76670785	Memory-GC-
205681_at	BCL2A1	8.169972494	12.0623868	6.925696543	12.57368785	Memory-GC-
206206_at	CD180	11.72609797	13.41838315	9.322432065	12.98780064	Memory-GC-
206244_at	CR1	7.138383837	10.31981895	6.930208228	8.816909134	Memory-GC-
207275_s_at	ACSL1	8.445001485	10.44268083	8.13E+00	9.476932589	Memory-GC-
208488_s_at	CR1	7.755960876	10.90629169	7.1327358	9.129931691	Memory-GC-
209306_s_at	SWAP70	10.31927798	13.51861873	11.80660373	14.33888578	Memory-GC-
209307_at	SWAP70	9.593070625	13.23465305	11.42530165	13.52367927	Memory-GC-
212746_s_at	CEP170	7.0342334	10.60118027	7.396790735	9.599292509	Memory-GC-
212795_at	KIAA1033	11.14364396	12.98781593	11.24664543	12.73733624	Memory-GC-
216080_s_at	FADS3	8.23668624	11.84565997	6.404681924	11.61696896	Memory-GC-
217478_s_at	HLA-DMA	12.33270538	14.2753	12.9997131	14.06608901	Memory-GC-
219901_at	FGD6	7.397351011	9.67611707	4.880016711	11.54807326	Memory-GC-
221268_s_at	SGPP1	9.521154336	11.18517458	5.115390164	12.47502167	Memory-GC-
202796_at	SYNPO	6.915752146	9.462971152	8.037675482	6.030654249	Memory-Naive-
206760_s_at	FCER2	5.130325001	9.140818635	8.910624161	7.499118647	Memory-Naive-
207819_s_at	ABCB4	6.258146515	9.944418196	10.59064666	8.619566599	Memory-Naive-
219667_s_at	BANK1	10.23320002	15.04419865	13.86960025	12.28086995	Memory-Naive-
205997_at	ADAM28	9.208746238	12.84958803	12.40987658	11.07473036	Memory-Naive-
209994_s_at	ABCB1	7.135248862	10.36374597	11.43333315	8.758291019	Memory-Naive-
210432_s_at	SCN3A	5.750393002	8.738328867	9.825207372	4.843846337	Memory-Naive-
215602_at	FGD3	8.437325955	11.5035835	10.60598977	8.472673735	Memory-Naive-
220338_at	RALGPS2	8.810155603	11.56606657	11.50227186	9.983799599	Memory-Naive-
222336_at	NA	6.605588842	9.508612444	11.11215537	8.302856542	Memory-Naive-
74694_s_at	RABEP2	9.931524128	12.66223807	12.56279287	11.50554507	Memory-Naive-
221030_s_at	ARHGAP24	8.239194284	9.743317204	10.08919671	7.833027255	Memory-Naive-
200606_at	DSP	7.38381994	5.868630597	11.18410643	6.272151835	Naive-
203038_at	PTPRK	8.315985821	8.588398307	10.95895508	5.955519402	Naive-
203349_s_at	ETV5	7.692101428	4.784019355	8.715023108	6.948679228	Naive-
204511_at	FARP2	8.407051387	8.642534731	10.17352834	8.571124473	Naive-
204961_s_at	NCF1C	10.72872806	11.63172762	12.67552254	12.23439097	Naive-
205148_s_at	CLCN4	6.997535649	6.393636954	9.725883492	7.686559767	Naive-
210448_s_at	P2RX5	12.06558126	13.65484595	15.36063347	14.25167876	Naive-
213674_x_at	IGHD	12.77615886	9.509652352	13.94428428	10.91752356	Naive-
214084_x_at	NCF1	10.81082788	12.04584151	13.17139928	12.62234097	Naive-
214769_at	CLCN4	6.599650211	5.135887756	9.799396	8.022233324	Naive-
214933_at	CACNA1A	8.551118879	9.467291922	10.23989098	8.832895673	Naive-
215721_at	immunoglobulin heavy chain	6.903965011	6.354255966	9.010135339	6.452451406	Naive-
215768_at	NA	7.349815392	8.455025669	10.34831636	8.676370539	Naive-
216023_at	KDM4B	6.308647902	7.764006657	9.162337325	7.488380223	Naive-
217026_at	CFTR	7.008711815	4.510919886	7.284532016	5.536271867	Naive-
217568_at	FAM12A	7.438449545	4.240494735	6.79122957	3.65187037	Naive-
218584_at	TCTN1	9.353091607	8.923734291	10.88663641	9.025946041	Naive-
218974_at	SOBP	6.603434363	9.666542442	11.63371078	9.45251415	Naive-
219300_s_at	CNTNAP2	6.56332685	6.617512423	10.31593748	6.161965964	Naive-
219301_s_at	CNTNAP2	7.117237555	6.358965853	9.852306581	6.771408572	Naive-
219670_at	BEND5	7.198690156	10.08302436	10.39795659	9.184601059	Naive-
220407_s_at	TGFB2	6.404013414	5.397087564	8.870386572	4.866165927	Naive-
210325_at	CD1A	7.642651664	7.976921314	9.579795385	8.312414939	Naive-
204235_s_at	GULP1	6.843339012	6.523302317	9.335108752	4.842983379	Naive-
205932_s_at	MSX1	6.28188268	6.064850157	10.86725156	5.861357291	Naive-
206159_at	GDF10	6.144788643	4.645946597	6.950062005	4.355289962	Naive-
206280_at	CDH18	7.507659792	4.910401598	10.18695066	5.963673408	Naive-
206533_at	CHRNA5	7.824263295	6.815265553	8.046722758	6.344427583	Naive-
206646_at	GLI1	6.401649218	6.714157186	9.077648733	5.754877344	Naive-
207120_at	ZNF667	6.087949969	5.340063408	8.855457732	4.231985182	Naive-
207940_x_at	CNR1	5.496892248	4.15172448	7.534656951	5.675827008	Naive-
207964_x_at	IFNA4	8.503410223	6.727107331	8.023150029	6.271309761	Naive-
211057_at	ROR1	5.375968622	4.732020965	8.93973404	4.727985757	Naive-
212845_at	SAMD4A	7.08695442	10.24864347	10.58374662	9.528658612	Naive-
213371_at	LDB3	4.845659857	6.756922868	12.89296806	4.315010962	Naive-
214595_at	KCNG1	6.124022087	5.532990515	10.67524706	5.018400312	Naive-
214967_at	NA	5.565892147	7.783955287	8.863504233	6.150124352	Naive-
215543_s_at	LARGE	8.291312328	7.771889634	9.692602091	6.988340448	Naive-
217820_s_at	ENAH	5.465943376	5.409731284	9.247275989	4.986966204	Naive-
217867_x_at	BACE2	7.439105677	8.513533806	10.68130081	8.248772873	Naive-
219737_s_at	PCDH9	7.668405661	6.612768545	11.90418415	6.431513721	Naive-
220218_at	C9orf68	4.834947268	5.908740261	9.54786419	5.01296425	Naive-
221969_at	PAX5	11.05207766	14.18421048	14.90374612	13.7234132	Naive-
222253_s_at	POM121L9P	6.358669436	6.502755425	11.98423077	4.660343421	Naive-
222285_at	NA	8.587650612	8.653949311	13.97187472	9.477200805	Naive-
41660_at	CELSR1	8.203154918	8.902666349	9.660054594	8.529506102	Naive-
56748_at	TRIM10	5.392790701	5.452478501	8.252618925	5.853670205	Naive-
210347_s_at	BCL11A	9.609611682	12.03422686	12.73930865	11.67356247	Naive-
212827_at	IGHE	13.92488163	12.18017927	15.19805243	13.91921584	Naive-
209583_s_at	CD200	8.452385461	9.360335051	11.47447078	7.759696907	Naive-
201160_s_at	CSDA	10.31184042	8.974916412	12.72746622	9.181765855	Naive-
204446_s_at	ALOX5	11.03778707	13.97596264	15.37485492	13.61265609	Naive-
212092_at	PEG10	5.574315109	6.350783047	8.343969998	8.869130141	Naive-GC-
205613_at	SYT17	5.700638596	9.23937323	11.10356506	10.2745966	Naive-GC-
203795_s_at	BCL7A	8.421978859	7.22983036	10.23064956	11.4922567	Naive-GC-
209995_s_at	TCL1A	9.650962051	10.37468167	14.66740627	14.70848941	Naive-GC-
39318_at	TCL1A	10.38143871	10.23627262	14.57002803	14.7078596	Naive-GC-
201287_s_at	SDC1	12.96692678	7.061924006	8.853004879	8.152138743	Plasma-
201445_at	CNN3	7.295920414	3.698122519	6.457010588	3.300585168	Plasma-
201691_s_at	TPD52	10.25837784	8.776264417	7.132479241	9.621050662	Plasma-
201893_x_at	DCN	8.385832614	5.986247676	6.202015704	7.752765619	Plasma-
202448_s_at	ZER1	8.444201025	6.494371891	6.670514959	6.098764775	Plasma-
202619_s_at	PLOD2	7.396406341	6.020600896	6.218405931	6.058186746	Plasma-
203002_at	AMOTL2	7.075485833	3.70194397	5.066211187	3.757735865	Plasma-
203640_at	MBNL2	13.33619657	11.08044511	8.105750052	11.37045644	Plasma-
203673_at	TG	8.615371425	6.283049075	6.293627044	7.629677886	Plasma-
204602_at	DKK1	8.916836577	5.10749842	7.304148539	6.455458037	Plasma-
204604_at	PFTK1	11.18428626	10.1495465	9.478762156	10.18397275	Plasma-
205168_at	DDR2	7.315416101	5.691116698	6.151110018	4.943237273	Plasma-
205632_s_at	PIP5K1B	11.20389303	9.282446744	10.16738519	7.947667738	Plasma-
205662_at	B9D1	9.090947574	6.245624437	5.346759029	6.900692723	Plasma-
206840_at	AFM	6.858640728	5.482523269	4.057398754	3.703072685	Plasma-
207203_s_at	NR1I2	6.857423228	4.21193852	5.161036812	4.425661623	Plasma-
207279_s_at	NEBL	8.539455846	6.344137175	7.458744375	6.164342906	Plasma-
207329_at	MMP8	7.970439328	3.589461433	5.066975542	5.983561678	Plasma-
207395_at	BTN1A1	9.021427193	7.054867716	7.077694292	7.274205293	Plasma-
207615_s_at	C16orf3	7.745614381	5.6454913	6.233074696	4.222049725	Plasma-
207675_x_at	ARTN	8.08568799	5.45627477	6.13182305	6.51318875	Plasma-
207929_at	GRPR	8.823809492	5.302773403	5.891129797	5.990654858	Plasma-
207951_at	COPS2	8.561745291	6.777459263	6.51259599	6.382735515	Plasma-
208000_at	GML	7.914115863	4.58507958	5.723630421	5.537072344	Plasma-
208462_s_at	ABCC9	8.391336898	7.011547469	7.928768332	4.981901708	Plasma-
208574_at	SOX14	7.010934932	4.824642615	5.50635623	4.1523157	Plasma-
209070_s_at	RGS5	6.579707854	4.570896539	6.580766535	5.43980005	Plasma-
209373_at	MALL	8.071959028	5.540197414	5.635319332	5.945496649	Plasma-
209541_at	IGF1	10.14231275	4.888740833	7.513118678	4.778313551	Plasma-
209742_s_at	MYL2	7.640207554	5.020231413	4.858715864	5.839253478	Plasma-
209863_s_at	TP63	8.32160903	4.927655444	6.26692221	6.422940746	Plasma-
210168_at	C6	8.102548708	6.280618939	5.123962828	5.366459487	Plasma-
210182_at	CORT	8.264567996	6.537949303	5.268746719	5.786646977	Plasma-
210534_s_at	B9D1	10.08710324	4.374094344	7.740294746	6.62203985	Plasma-
210545_at	ITSN2	7.510457385	4.656837284	5.776690125	5.16228517	Plasma-
211502_s_at	PFTK1	9.146072501	7.249013867	7.784609671	7.696138279	Plasma-
211633_x_at	IGH@	13.11393897	9.475501731	5.727281391	11.16935414	Plasma-
211641_x_at	abParts	13.76326891	9.457478153	8.007490512	10.67850171	Plasma-
211642_at	abParts	9.08753807	3.971272606	4.855345616	5.98309205	Plasma-
211645_x_at	abParts	15.67499066	11.83112956	9.353298761	13.47969905	Plasma-
211647_x_at	IGHG3	9.931490334	6.990076839	5.141926075	7.928893818	Plasma-
211650_x_at	IGHD	13.46375769	9.519985163	7.067892246	11.20892717	Plasma-
211652_s_at	LBP	8.067722696	5.361510876	6.712428392	4.664127461	Plasma-
211798_x_at	abParts	14.20476123	10.90112104	9.184627283	12.58745921	Plasma-
211868_x_at	abParts	13.37865296	9.779621557	6.888326816	11.2405716	Plasma-
211908_x_at	IGH@	13.2461803	9.019214381	5.474007453	9.351087922	Plasma-
212218_s_at	FBXO9	9.598531946	8.306481933	8.271025841	8.693649628	Plasma-
213680_at	KRT6B	7.79215287	4.14564316	6.171958018	3.748478126	Plasma-
213874_at	SERPINA4	7.917509627	5.573185164	6.261007462	5.791339508	Plasma-
213992_at	COL4A6	7.728715875	4.837566704	6.749574007	4.737937343	Plasma-
214768_x_at	abParts	14.91931894	10.51136624	9.286213011	12.95244473	Plasma-
214777_at	abParts	14.91162851	11.61774082	7.296982307	12.86972051	Plasma-
214836_x_at	NA	15.81374875	12.7949593	11.65958201	13.96581142	Plasma-
214944_at	PHLPP2	7.902294636	5.239291529	6.69801693	6.314929134	Plasma-
214971_s_at	ST6GAL1	11.42024678	8.748698966	6.984483265	9.809756819	Plasma-
214973_x_at	abParts	14.61424964	10.67296748	7.327169548	12.29579044	Plasma-
215027_at	RAPGEF3	7.689022207	4.743353842	5.760639612	5.745810938	Plasma-
