probeset_id	gene_symbol	Monocytes	B-cells	T-cells	pDCs	NK	mDCs	Highly Expressed in PBMC type
202998_s_at	LOXL2	4.574265876	8.196743967	7.041496997	6.108878959	6.73544809	4.72398489	B-cells-
203002_at	AMOTL2	4.76830981	5.660836047	4.580041244	3.798411553	4.454971805	3.5260897	B-cells-
203038_at	PTPRK	4.670560954	8.753671475	7.056753674	4.429794396	6.293443891	5.705666027	B-cells-
203143_s_at	KIAA0040	7.983013881	10.32088732	9.455473482	5.455750244	8.877646676	6.419405664	B-cells-
203159_at	GLS	9.318226688	11.45317844	11.18440729	9.728764758	10.38135959	9.343259007	B-cells-
203178_at	GATM	5.231553652	9.008575455	5.171579116	7.01461655	5.252079093	7.590870007	B-cells-
203210_s_at	RFC5	4.92169833	7.375349128	6.688249287	4.617343826	6.038123589	4.45546125	B-cells-
203284_s_at	HS2ST1	8.142423661	9.637175811	9.132711681	5.035639588	8.323263096	5.5022529	B-cells-
203304_at	BAMBI	7.488526938	7.692429799	6.68962234	6.407453267	6.092532393	6.016888541	B-cells-
203349_s_at	ETV5	5.918571615	7.082186096	5.434401961	4.803103034	6.883960847	5.772283712	B-cells-
203418_at	CCNA2	4.104412105	7.486960441	6.129502619	6.234443761	6.05266682	4.801748991	B-cells-
203435_s_at	MMP12	4.661805425	6.947928329	4.05092049	5.185796202	4.648230841	4.193316415	B-cells-
203492_x_at	CEP57	8.985364134	10.17069483	9.871058465	9.018277976	9.169867326	8.810509972	B-cells-
203520_s_at	ZNF318	7.922259366	9.602348181	8.322004979	7.924094049	7.866343686	8.675258762	B-cells-
203554_x_at	PTTG1	9.698386324	11.14305268	10.87794719	8.446559489	9.887180258	8.338847066	B-cells-
203608_at	ALDH5A1	2.554204053	9.212415894	8.522128708	7.149042141	7.318411344	2.4846896	B-cells-
203640_at	MBNL2	9.229703027	10.32246144	10.04646704	9.146927623	8.874382793	8.406131249	B-cells-
203673_at	TG	6.613099089	7.301827726	6.240757212	6.129279904	5.759484414	5.313073643	B-cells-
203819_s_at	IGF2BP3	5.133230846	7.282870376	4.885073411	6.501801973	5.250596598	5.781479291	B-cells-
203881_s_at	DMD	6.399694203	8.239325841	4.949835471	6.901306257	5.847382176	5.567341812	B-cells-
203999_at	SYT1	6.140421472	7.551548082	6.038785975	4.295663525	6.827694991	3.833789855	B-cells-
204065_at	CHST10	7.592082996	8.99268403	7.830551127	7.729813388	8.197583125	6.958210122	B-cells-
204119_s_at	ADK	9.376853451	10.85633561	10.27561958	9.60898237	7.835705525	9.133746475	B-cells-
204138_s_at	MZF1	5.522715318	6.972581212	6.02690583	5.276133057	5.277629203	4.871961355	B-cells-
204207_s_at	RNGTT	8.982228573	10.56171786	9.247240519	7.590631298	8.720322729	6.968993621	B-cells-
204208_at	RNGTT	8.054941983	10.19298989	9.45191936	6.939969543	8.647998529	6.652454419	B-cells-
204257_at	FADS3	9.216490346	10.33751012	8.13873843	5.144376853	8.718419731	5.709996191	B-cells-
204365_s_at	REEP1	6.133855179	7.479219226	6.396830666	7.046200909	6.187952255	6.371628607	B-cells-
204424_s_at	LMO3	4.525919757	5.986289116	4.589278978	3.224119966	5.065607002	3.065993267	B-cells-
204429_s_at	SLC2A5	7.429326738	9.118659368	6.940732748	7.330354962	7.919749788	7.254398626	B-cells-
204511_at	FARP2	5.722548211	8.645216461	6.691509157	4.982902116	7.579611631	4.654171897	B-cells-
204556_s_at	DZIP1	4.977861991	6.230423213	4.699331692	4.742024584	5.316236724	4.495298409	B-cells-
204580_at	MMP12	5.066010723	6.299904557	5.641544054	4.676298388	4.804491731	3.17464664	B-cells-
204581_at	CD22	6.735364932	11.70259177	4.799714337	5.208353355	6.112257288	6.087173934	B-cells-
204584_at	L1CAM	4.866932506	6.921389096	5.916119053	3.431777824	5.030889059	2.79974196	B-cells-
204591_at	CHL1	3.430618487	5.99234776	3.649698164	4.285297596	4.774122345	4.647228888	B-cells-
204602_at	DKK1	5.661635458	6.891944788	5.610364147	3.422167939	6.618638443	3.623143678	B-cells-
204604_at	PFTK1	8.38966108	10.31577212	6.547962695	7.449138581	6.985032936	8.146038423	B-cells-
204674_at	LRMP	9.840629304	12.72951092	10.52594126	8.593968118	10.19447264	9.103322677	B-cells-
204680_s_at	RAPGEF5	6.321707512	7.737464356	5.782532052	2.866046111	7.270926864	2.925939554	B-cells-
204681_s_at	RAPGEF5	4.683485041	8.014064384	4.027653188	3.796217361	5.021389587	3.231718156	B-cells-
204688_at	SGCE	4.953077788	8.248160483	6.370245663	5.897823786	6.377639283	6.464194334	B-cells-
204689_at	HHEX	9.159650259	10.63616597	6.837617714	9.303572191	8.776051448	9.327488117	B-cells-
204698_at	ISG20	11.15931948	12.56674518	12.31728369	8.590115818	11.46361504	8.608025787	B-cells-
204724_s_at	COL9A3	3.42736913	7.457126509	3.485732291	6.155986774	5.461612177	6.842594499	B-cells-
204761_at	USP6NL	7.602920223	9.452528024	6.920920815	7.783510818	7.207908699	8.782023933	B-cells-
204814_at	CADPS	4.327835054	5.651810861	4.595401748	3.482454312	5.298434662	3.388582978	B-cells-
204836_at	GLDC	5.766053324	7.228022904	5.5410333	5.168741684	6.004178301	4.737842583	B-cells-
204913_s_at	SOX11	3.968265286	5.401185807	3.494734244	4.015847652	4.455510497	4.029022385	B-cells-
204922_at	C11orf80	4.80072265	8.13610096	6.914778906	5.047311924	7.011596451	3.225650818	B-cells-
204961_s_at	NCF1C	10.78532328	10.99561799	7.233809772	9.843044337	8.042178387	8.459136402	B-cells-
205049_s_at	CD79A	6.030431754	13.39672669	6.903921174	7.061963525	6.99718342	5.040814883	B-cells-
205064_at	SPRR1B	5.343312324	6.434992358	5.406500163	4.746649998	5.876252023	5.108800033	B-cells-
205079_s_at	MPDZ	5.365739757	6.870092737	5.798037267	5.735789734	6.630134783	5.212301413	B-cells-
205124_at	LOC729991-MEF2B	4.703972468	6.645841758	4.940674071	3.554837769	5.609847589	2.925276199	B-cells-
205147_x_at	NCF4	9.43173918	10.129753	8.62024662	8.997921309	7.919838942	8.351027798	B-cells-
205148_s_at	CLCN4	5.888995209	7.804895283	4.832705028	5.227067301	5.342797967	5.073787049	B-cells-
205149_s_at	CLCN4	5.120329364	5.651282553	3.621762002	4.43054856	4.288495246	4.047424454	B-cells-
205168_at	DDR2	4.564660226	6.4651831	5.196905194	4.279261544	5.515126876	3.637599034	B-cells-
205229_s_at	COCH	5.372794748	9.148681783	6.004051124	3.785649419	6.000231161	3.659354479	B-cells-
205267_at	POU2AF1	5.336902599	13.71343543	8.644628682	5.906599694	8.588999217	5.241877408	B-cells-
205297_s_at	CD79B	7.179171204	12.26036171	8.672430901	7.299531384	8.955057948	7.555051719	B-cells-
205299_s_at	BTN2A2	6.090177719	8.271180658	6.922945969	5.914923133	7.469648341	6.647375541	B-cells-
205317_s_at	SLC15A2	6.903286648	8.303688751	6.571477785	5.813652293	6.732214341	5.635759552	B-cells-
205389_s_at	ANK1	5.71381052	7.434401927	6.402592758	5.455358775	5.330000526	4.321201053	B-cells-
205414_s_at	RICH2	5.594339461	6.557748272	4.199966867	3.717739855	4.935380417	3.49097588	B-cells-
205464_at	SCNN1B	4.770175164	5.982686697	4.38382285	4.11586278	6.061767893	3.594945095	B-cells-
205500_at	C5	6.215659061	7.355657722	6.646715969	4.475398881	6.217252888	6.264443878	B-cells-
205542_at	STEAP1	6.409774305	6.995494184	5.858926775	4.442165894	4.89288219	4.372145294	B-cells-
205544_s_at	CR2	4.402512123	10.93266932	6.65955029	4.682594781	5.556182844	4.689208308	B-cells-
205547_s_at	TAGLN	8.287127734	8.588283546	7.182924988	7.548447801	6.108120845	7.444839596	B-cells-
205632_s_at	PIP5K1B	7.489977249	9.655485564	7.823307003	7.113607733	7.423611095	5.509869183	B-cells-
205659_at	HDAC9	6.649099748	10.4992179	7.432560377	9.424025336	7.894937669	10.39474421	B-cells-
205662_at	B9D1	5.475029917	6.559103109	4.794561865	4.025407668	5.108104801	4.279952722	B-cells-
205666_at	FMO1	4.609353054	6.387029888	4.73797005	5.33947842	6.379357779	5.30342684	B-cells-
205671_s_at	HLA-DOB	5.133522842	11.83531558	7.944576628	5.785397441	8.43596702	8.924916968	B-cells-
205675_at	TRNP	3.781506149	4.965455363	3.815947088	3.255842748	4.498035236	2.140532895	B-cells-
205679_x_at	ACAN	6.558667212	7.459802004	6.386931517	3.240492483	5.019194656	3.639317804	B-cells-
205739_x_at	ZNF107	6.194646465	10.02243216	9.842470543	7.72075893	8.88088412	6.630848319	B-cells-
205780_at	BIK	6.803297198	7.952012896	6.212751561	6.251059752	6.068504983	2.812066307	B-cells-
205840_x_at	GH1	5.885662247	7.068775431	5.254403937	4.60374369	5.973357594	3.77536442	B-cells-
205903_s_at	KCNN3	3.765735755	5.90605838	3.149569753	3.841290452	4.531070875	3.038444835	B-cells-
206001_at	NPY	5.520218511	7.08479775	5.774015174	5.876719519	5.552400955	5.442946752	B-cells-
206105_at	AFF2	6.831154133	8.067139825	6.854981349	6.704463737	7.502661761	6.326227265	B-cells-
206126_at	CXCR5	6.826218255	11.13189197	7.301687845	4.755636981	7.544298855	4.158379112	B-cells-
206248_at	PRKCE	6.316300261	7.386468026	5.529317399	5.34706114	6.221708972	6.973167832	B-cells-
206255_at	BLK	5.308528698	10.63834941	5.870335992	6.83380688	4.762777345	4.385521644	B-cells-
206281_at	ADCYAP1	4.894739398	6.139613086	4.948250799	4.556038853	5.396661888	3.783772877	B-cells-
206377_at	FOXF2	5.975174733	6.963958136	5.351742453	2.56042502	5.744571867	3.056458659	B-cells-
206394_at	MYBPC2	4.160894022	6.016192391	4.260105	4.966150873	5.158388251	4.602309575	B-cells-
206395_at	DGKG	5.18254989	5.887069458	4.306705993	4.452462898	4.416938524	4.110848113	B-cells-
206398_s_at	CD19	6.00867648	12.03299216	5.68832457	4.404639657	5.27470811	4.013260427	B-cells-
206445_s_at	PRMT1	10.06280215	11.51702522	10.23926767	9.420045561	8.740820839	9.215091816	B-cells-
206478_at	KIAA0125	6.685450925	10.78872466	6.556776907	7.125113527	8.108170772	4.197754983	B-cells-
206508_at	CD70	6.752951484	8.414911493	7.014354634	6.764217214	6.766191587	6.533567697	B-cells-
206552_s_at	TAC1	3.885564119	5.230433946	3.511124049	3.576739336	4.714129933	3.211475354	B-cells-
206588_at	DAZL	4.634555657	6.241837998	5.02461217	3.495344851	4.061034313	4.060424602	B-cells-
206633_at	CHRNA1	5.546103979	6.771820394	5.293112476	4.668211595	5.148744793	4.182464944	B-cells-
206683_at	ZNF165	5.145554061	8.145807702	5.984626281	5.748010865	6.038705171	3.974255074	B-cells-
206693_at	IL7	6.29620459	8.388913773	6.143263692	4.275485405	5.015318326	5.747241029	B-cells-
206713_at	NTNG2	5.81652396	7.151833134	5.837495982	5.601718514	4.620360554	4.930164875	B-cells-
206724_at	CBX4	6.988166099	7.902179954	6.23268176	5.474485851	5.903471439	3.105439727	B-cells-
206759_at	FCER2	5.276509055	9.398215914	4.641427834	4.563231942	6.123473816	3.929746588	B-cells-
206760_s_at	FCER2	3.450862284	8.298238157	3.394701024	3.931488258	5.048634278	3.598248395	B-cells-
206840_at	AFM	4.448571243	5.687549487	4.421141041	3.02350329	3.993731902	2.860301145	B-cells-
206864_s_at	HRK	5.648902326	7.90204672	4.805030953	4.766343827	6.676035416	4.309557794	B-cells-
206865_at	HRK	3.853165454	5.863430836	3.478747395	4.736958992	5.286437848	3.724212251	B-cells-
206872_at	SLC17A1	4.911995571	6.550560297	5.385516455	5.292551442	6.522994494	4.662998837	B-cells-
206885_x_at	GH1	5.417055268	6.718907937	4.971556129	3.654362361	6.322391082	3.461996676	B-cells-
206886_x_at	GH1	5.103472581	6.448296806	4.951051108	3.112537524	5.465746688	2.419501209	B-cells-
207098_s_at	MFN1	8.822970899	10.20898544	9.874845835	7.02503008	8.887238546	6.607700076	B-cells-
207124_s_at	GNB5	6.814052521	9.26947822	8.533517084	7.152983647	7.93412205	5.768970524	B-cells-
207165_at	HMMR	4.252226417	8.756684551	7.624901778	4.5834262	7.382822779	3.835218549	B-cells-
207169_x_at	DDR1	7.366854584	8.127870875	6.459174118	7.116484464	6.493468783	4.837706523	B-cells-
207176_s_at	CD80	7.880404307	9.334788971	7.711747534	5.168666229	7.414674309	4.404493411	B-cells-
207203_s_at	NR1I2	5.102818629	6.395631006	4.801114498	3.549314974	5.018378886	2.962297031	B-cells-
207245_at	UGT2B17	3.227784817	6.115316905	3.319623173	3.359262036	3.73907171	3.348914056	B-cells-
207279_s_at	NEBL	5.778799734	6.828246421	5.313589177	5.4724352	5.405864124	4.695755671	B-cells-
207329_at	MMP8	5.583543041	6.365991826	4.903640701	2.522685695	4.451537283	2.573399094	B-cells-
207333_at	NMBR	3.632306194	5.397782554	4.213408939	4.155053214	5.122540869	3.700277192	B-cells-
207390_s_at	SMTN	5.024064579	6.539424565	5.26693892	4.697761427	5.189536749	5.659431034	B-cells-
207392_x_at	UGT2B15	6.081530659	7.645343341	6.416736256	5.868127033	6.345994501	5.146838455	B-cells-
207395_at	BTN1A1	4.947705549	6.865843536	4.649929981	5.521094124	5.67850328	5.509399103	B-cells-
207402_at	ZNF132	5.303278115	6.366694221	5.051232107	5.409376986	5.311433807	4.840292007	B-cells-
207423_s_at	ADAM20	5.89530398	6.923786967	5.549082967	5.942416954	5.777479633	5.578135181	B-cells-
207615_s_at	C16orf3	3.844710165	5.830074464	3.886611064	4.153280368	4.572565643	4.13859694	B-cells-
207641_at	TNFRSF13B	7.962421504	9.271487514	7.600370463	7.793562423	8.354814183	7.059988569	B-cells-
207675_x_at	ARTN	6.000704509	7.240307367	6.095647335	4.976483992	6.078158102	4.890059981	B-cells-
207677_s_at	NCF4	9.090586013	10.09105944	8.8630259	9.483623429	7.473092666	8.521723872	B-cells-
207770_x_at	CSH2	5.824704964	7.074069954	5.751322335	3.92885783	5.754606433	3.389179665	B-cells-
207819_s_at	ABCB4	5.888943201	9.38408469	4.463146677	3.758315145	5.74801331	6.533972157	B-cells-
207821_s_at	PTK2	7.93383849	8.948983792	6.763213011	7.348153809	7.368223197	4.912161136	B-cells-
207826_s_at	ID3	8.516419866	10.24430984	9.077718259	6.791424368	7.042083601	8.816322051	B-cells-
207929_at	GRPR	5.881387806	7.014948914	5.958305709	4.115424241	5.844983143	3.596353964	B-cells-
207935_s_at	KRT13	4.377581953	5.885269666	4.396220026	3.838288986	5.60063034	4.057962483	B-cells-
207946_at	MAML3	5.740007461	6.265387777	5.003952694	4.288476388	5.171078117	4.123959128	B-cells-
207951_at	COPS2	6.420866742	7.142341164	5.827458185	4.850549076	5.788523603	4.407944307	B-cells-
208000_at	GML	4.892384452	6.534955334	5.533499869	4.507954173	6.194463144	3.500745488	B-cells-
208086_s_at	DMD	5.449737113	6.707909384	5.283176776	6.385747414	4.986683048	5.18273894	B-cells-
208121_s_at	PTPRU	7.324754895	8.475453156	6.747899395	8.174906522	4.158493209	6.501813576	B-cells-
208196_x_at	NFATC1	6.831285409	7.817019433	6.762421766	5.944764931	6.673166873	5.409774876	B-cells-
208269_s_at	ADAM28	6.848913579	8.782796881	5.000780575	4.304778365	5.88585008	7.331734297	B-cells-
208382_s_at	DMC1	4.917940425	6.452434208	5.378999508	2.900036938	6.200313754	2.611621906	B-cells-
208393_s_at	RAD50	7.441493058	9.17072343	8.896279648	8.057798384	8.063520491	8.124030681	B-cells-
208408_at	BGLAP	4.687634995	6.311108643	5.077824362	4.054072219	5.348900997	4.62052071	B-cells-
208447_s_at	PRPS1	8.346995849	9.790538421	9.640924472	8.726451891	8.604226978	7.751636157	B-cells-
208456_s_at	RRAS2	4.788396694	10.11277487	7.634180894	5.768087106	7.905666446	6.349270052	B-cells-
208462_s_at	ABCC9	5.471378472	6.685380949	5.317102995	5.155555734	6.059889984	5.307350103	B-cells-
208463_at	GABRA4	5.498297914	6.905998198	5.823606059	4.757020967	6.419473738	3.784360629	B-cells-
208474_at	CLDN6	5.985637585	7.081482046	6.076389719	5.364807987	5.873723223	5.687957475	B-cells-
208519_x_at	GNRH2	5.690947601	6.835627755	5.894333789	3.92673537	5.77409226	4.163674252	B-cells-
208574_at	SOX14	3.869289638	5.037865624	3.354721414	3.09759848	4.426832337	2.794291531	B-cells-
208644_at	PARP1	8.582644794	11.58570268	10.6398603	7.724413737	10.30028509	8.455600163	B-cells-
208650_s_at	CD24	3.957061164	9.921255894	5.032684773	4.284168294	5.303221461	3.412504156	B-cells-
208651_x_at	CD24	5.406413397	10.19920239	5.751440369	6.549885501	6.630788791	6.394208791	B-cells-
208690_s_at	PDLIM1	9.813350627	11.97212895	9.006208903	7.516293576	9.952470953	10.25013635	B-cells-
208711_s_at	CCND1	5.593403777	6.746134002	5.305953031	4.979521229	5.672803363	4.732227373	B-cells-
208712_at	CCND1	5.114903851	6.331398606	4.527840425	5.628687735	4.563464735	5.232344209	B-cells-
208820_at	PTK2	8.308987472	9.364795452	7.131670381	8.161075683	8.826151203	6.87098137	B-cells-
209012_at	TRIO	9.559520126	9.589259518	7.277966647	6.385408341	8.585059773	8.292557164	B-cells-
209070_s_at	RGS5	4.237527536	5.574408642	4.204561624	4.442747951	4.696613417	4.019997169	B-cells-
209094_at	DDAH1	4.917246346	6.607110575	4.307966928	3.497504243	4.501432883	3.358457986	B-cells-
209125_at	KRT6A	3.93874113	5.348129209	4.03038445	3.734500833	3.82133542	3.595172363	B-cells-
209139_s_at	PRKRA	9.496978922	10.64665222	10.44233255	9.541690885	8.868611795	8.616492779	B-cells-
209151_x_at	TCF3	4.1320595	7.189981911	4.20384303	3.370398452	4.716131414	4.043365874	B-cells-
209199_s_at	MEF2C	11.42090866	12.83856028	6.582520235	10.94735787	8.527074377	11.20255636	B-cells-
209291_at	ID4	5.479584592	6.12700588	4.266836924	4.940748641	4.957819461	4.315971088	B-cells-
209373_at	MALL	4.547935192	6.150247841	5.052234201	4.673620647	4.770270041	4.222092892	B-cells-
209441_at	RHOBTB2	4.448904439	7.264706235	4.937685426	5.250615321	6.266863992	3.387499284	B-cells-
209469_at	GPM6A	4.207185337	7.136555737	4.261344377	6.309072702	5.181553469	5.42104842	B-cells-
209470_s_at	GPM6A	4.881903604	7.54390755	4.640299492	6.112095752	4.844442996	4.83066856	B-cells-
209507_at	RPA3	9.028076468	10.74313861	10.40878433	8.13597308	9.583019766	7.844280227	B-cells-
209541_at	IGF1	4.299318737	6.394604635	5.096964373	3.392287315	4.962056003	3.206745006	B-cells-
209558_s_at	HIP1R	4.005822097	10.6839599	9.105950663	5.846743242	9.373939747	5.60411317	B-cells-
209559_at	HIP1R	7.061316714	7.553058415	6.17E+00	3.415866088	6.152978709	3.24866519	B-cells-
209582_s_at	CD200	5.144200086	8.353358077	6.24022027	5.794431638	5.599631408	6.850887633	B-cells-
209594_x_at	PSG9	6.213558371	7.623877189	6.917065466	4.985472642	6.116561211	4.707104902	B-cells-
209644_x_at	CDKN2A	7.652587528	8.711699796	8.074847902	5.639343119	7.663249226	5.681167361	B-cells-
209690_s_at	DOK4	3.966008041	5.501145157	4.241076043	3.596286886	4.186044494	3.623698924	B-cells-
209692_at	EYA2	4.108372042	5.684349187	3.74772085	4.493033619	4.164819168	3.869367407	B-cells-
209709_s_at	HMMR	5.426999899	8.79479078	7.246283391	3.817068571	7.013823901	3.020002455	B-cells-
209742_s_at	MYL2	4.996080202	6.111112166	4.656001868	3.273666186	4.940271671	3.252372465	B-cells-
209771_x_at	CD24	5.027390808	11.94484629	6.815314761	5.074678049	7.798242251	4.439833726	B-cells-
209772_s_at	CD24	4.567718091	8.684079659	4.60052812	4.099927564	5.728358068	4.454778101	B-cells-
209785_s_at	PLA2G4C	5.64326896	7.912053839	6.472621512	5.720289688	7.08028131	6.254068046	B-cells-
209863_s_at	TP63	5.989146763	7.221920826	5.652572277	5.384565805	5.686061652	4.979806677	B-cells-
209999_x_at	SOCS1	5.254107985	6.266084344	5.222046562	5.101501897	5.984306664	3.943771906	B-cells-
210083_at	SEMA7A	5.706649088	7.029022237	5.31378687	5.379685991	6.500463763	4.653272115	B-cells-
210150_s_at	LAMA5	6.418719123	8.579420004	5.300812762	7.805851976	6.898612664	5.476177601	B-cells-
210168_at	C6	5.367581087	6.957090985	5.930313274	6.190703951	4.474348346	5.114048086	B-cells-
210182_at	CORT	5.690035903	7.014101785	6.181664321	5.247127754	5.594244711	4.0912151	B-cells-
210234_at	GRM4	7.586396867	7.775745983	6.600431384	5.191220201	6.572108739	5.333336815	B-cells-
210334_x_at	BIRC5	5.751613216	7.720760466	6.492902815	4.83156315	7.201258882	4.403002841	B-cells-
210356_x_at	MS4A1	5.590770029	13.73754477	7.576762013	7.438563744	7.304632667	6.738486776	B-cells-
210370_s_at	LY9	6.09971998	10.06291285	8.695065883	8.621208742	7.601893359	6.346083354	B-cells-
210416_s_at	CHEK2	4.743217878	7.864621126	7.634756082	6.73547855	6.458549035	6.82779761	B-cells-
210448_s_at	P2RX5	6.3795962	12.78079007	10.44204197	7.432269205	10.24544212	7.957439025	B-cells-
210450_at	LOC90925	4.231363772	8.552968481	3.943636994	5.779430023	5.787040207	4.701720599	B-cells-
210467_x_at	MAGEA12	5.037218761	6.22328039	5.133018983	3.448199034	5.471155363	3.813084665	B-cells-
210533_at	MSH4	5.243515728	6.363532706	5.092292729	3.421283221	6.272615422	4.012603482	B-cells-
210534_s_at	B9D1	5.589840195	7.036396088	5.235342888	4.365932661	5.997573857	3.647110914	B-cells-
210545_at	ITSN2	5.464102356	6.469886264	5.760626076	5.469852669	4.366194446	4.317275547	B-cells-
210577_at	CASR	4.815962868	6.789345812	5.767522204	2.240687693	6.211659347	1.954379446	B-cells-
210640_s_at	GPER	4.98433883	7.469120574	4.609789134	4.575586742	5.557382654	4.903233054	B-cells-
210775_x_at	CASP9	9.410603468	9.714921147	8.57120659	6.836163753	8.041722779	7.201426017	B-cells-
210801_at	DIMT1L	4.633614177	6.328252578	5.775913376	4.774655247	4.986680271	3.765718356	B-cells-
210821_x_at	CENPA	7.295132023	8.394446429	7.358169974	4.703234698	7.163697751	4.574166351	B-cells-
210826_x_at	RAD17	8.429154468	10.37540236	9.371757903	8.717815404	8.829029605	8.05567905	B-cells-
210829_s_at	SSBP2	7.946258041	9.672472439	8.374972298	7.821058107	9.195866358	8.314368038	B-cells-
210838_s_at	ACVRL1	5.072862892	6.098742834	5.074902903	4.382922531	5.073709293	4.843270202	B-cells-
210875_s_at	ZEB1	6.039209908	8.142659886	7.409880636	5.103562483	5.826492675	3.948140514	B-cells-
211080_s_at	NEK2	5.063093934	6.965365395	5.468735144	5.093183141	5.898261214	5.289540573	B-cells-
211151_x_at	GH1	4.423169567	5.575472123	4.104171822	4.880414031	3.798255504	3.720445959	B-cells-
211400_at	FGFR2	3.683307128	5.601411527	4.151796849	4.582856797	4.628220972	3.779087237	B-cells-
211502_s_at	PFTK1	6.323122857	8.168763691	5.514335455	6.925820803	5.458466791	7.493404944	B-cells-
211519_s_at	KIF2C	6.505438581	8.0755614	7.223348915	6.38697192	7.004721639	5.758145885	B-cells-
211559_s_at	CCNG2	9.533929333	9.968804362	8.156175938	8.839690576	6.473591901	7.871966137	B-cells-
211633_x_at	IGH@	4.222385528	9.517325789	6.1889018	7.370096296	6.700151623	6.199026501	B-cells-
211634_x_at	abParts	4.106679981	11.01780792	6.016361431	5.780952011	6.288330262	5.240585255	B-cells-
211635_x_at	abParts	4.782854648	10.77749807	5.89370899	5.333168106	6.808475248	4.224177032	B-cells-
211637_x_at	IGHE	4.650731339	10.87127875	5.901739285	6.504151997	5.918158218	4.983043168	B-cells-
211638_at	IGHA2	3.781491397	5.298058509	3.64648094	3.900224061	4.714178234	3.561431989	B-cells-
211640_x_at	abParts	4.327947242	8.87215347	4.929919158	5.560756501	5.737889733	4.844353387	B-cells-
211641_x_at	abParts	6.381760131	10.2599997	6.718839844	5.232770846	7.088640123	4.647032891	B-cells-
211642_at	abParts	3.656845736	5.83335256	2.677887422	4.373873008	3.96646628	4.339572973	B-cells-
211643_x_at	abParts	4.925850885	11.79168113	5.932388526	5.006981858	5.49357361	5.207581173	B-cells-
211644_x_at	abParts	4.649686936	12.40477384	5.31365237	4.323889442	6.171888284	4.715777569	B-cells-
211645_x_at	abParts	4.95138092	12.46047857	5.236031265	3.296471127	6.31228619	4.185523922	B-cells-
211647_x_at	IGHG3	4.696893529	7.877850936	5.481018306	4.133572158	5.928395415	3.130548104	B-cells-
211648_at	IGHG3	3.745131791	6.196059552	3.397937361	4.874367159	4.288956181	5.256573252	B-cells-
211649_x_at	IGHG3	5.091825909	9.096473472	6.537796728	3.531668108	6.912798029	3.780843368	B-cells-
