gene_symbol	Day 4	Day 7	Day 28
ABL2	0	0	0
ABLIM1	0	0	0
ABLIM2	0	0	0
ABLIM3	0	0	0
ABO	0	0	0
ABP1	0	0	0
ABR	0	0	0
ABRA	0	0	0
ABT1	0	0	0
ABTB1	0	0	0
ABTB2	0	0	0
ACAA1	0	0	0
ACAA2	0	0	0
ACACA	0	0	0
ACACB	0	0	0
ACAD10	0	0	0
ACAD11	0	0	0
ACAD8	0	0	0
ACAD9	0	0	0
ACADL	0	0	0
ACADM	0	0	0
ACADS	0	0	0
ACADSB	0	0	0
ACADVL	0	0	0
ACAN	0	0	0
ACAP1	0	0	0
ACAP2	0	0	0
ACAP3	0	0	0
ACAT1	0	0	0
ACAT2	0	0	0
ACBD3	0	0	0
ACBD4	0	0	0
ACBD5	0	0	0
ACBD6	0	0	0
ACBD7	0	0	0
ACCN1	0	0	0
ACCN2	0	0	0
ACCN3	0	0	0
ACCN4	0	0	0
ACCN5	0	0	0
ACCS	0	0	0
ACCSL	0	0	0
ACD	0	0	0
ACE	0	0	0
ACE2	0	0	0
ACER1	0	0	0
ACER2	0	0	0
ACER3	0	0	0
ACHE	0	0	0
ACIN1	0	0	0
ACLY	0	0	0
ACMSD	0	0	0
ACN9	0	0	0
ACO1	0	0	0
ACO2	0	0	0
ACOT1	0	0	0
ACOT11	0	0	0
ACOT12	0	0	0
ACOT2	0	0	0
ACOT4	0	0	0
ACOT6	0	0	0
ACOT7	0	0	0
ACOT8	0	0	0
ACOT9	0	0	0
ACOX1	1	0	0
ACOX2	0	0	0
ACOX3	0	0	0
ACOXL	0	0	0
ACP1	0	0	0
ACP2	0	0	0
ACP5	0	0	0
ACP6	0	0	0
ACPL2	0	0	0
ACPP	0	0	0
ACPT	0	0	0
ACR	0	0	0
ACRBP	0	0	0
ACRC	0	0	0
ACRV1	0	0	0
ACSBG1	0	0	0
ACSBG2	0	0	0
ACSF2	0	0	0
ACSF3	0	0	0
ACSL1	0	0	0
ACSL3	0	0	0
ACSL4	0	0	0
ACSL5	0	0	0
ACSL6	0	0	0
ACSM1	0	0	0
ACSM2A	0	0	0
ACSM2B	0	0	0
ACSM3	0	0	0
ACSM4	0	0	0
ACSM5	0	0	0
ACSS1	0	0	0
ACSS2	0	0	0
ACSS3	0	0	0
ACTA1	0	0	0
ACTA2	0	0	0
ACTB	0	0	0
ACTBL2	0	0	0
ACTC1	0	0	0
ACTG1	0	0	0
ACTG2	0	0	0
ACTL6A	0	0	0
ACTL6B	0	0	0
ACTL7A	0	0	0
ACTL7B	0	0	0
ACTL8	0	0	0
ACTN1	0	0	0
ACTN2	0	0	0
ACTN3	0	0	0
ACTN4	0	0	0
ACTR10	0	0	0
ACTR1A	0	0	0
ACTR1B	0	0	0
ACTR2	0	0	0
ACTR3	0	0	0
ACTR3B	0	0	0
ACTR5	0	0	0
ACTR6	0	0	0
ACTR8	0	0	0
ACTRT1	0	0	0
ACTRT2	0	0	0
ACVR1	0	0	0
ACVR1B	1	0	0
ACVR1C	0	0	0
ACVR2A	0	0	0
ACVR2B	0	0	0
ACVRL1	0	0	0
ACY1	0	0	0
ACY3	0	0	0
ACYP1	0	0	0
ACYP2	0	0	0
ADA	0	0	0
ADAD1	0	0	0
ADAD2	0	0	0
ADAL	0	0	0
ADAM10	0	0	0
ADAM11	0	0	0
ADAM12	0	0	0
ADAM15	0	0	0
ADAM17	0	0	0
ADAM18	0	0	0
ADAM19	0	0	0
ADAM2	0	0	0
ADAM20	0	0	0
ADAM21	0	0	0
ADAM21P	0	0	0
ADAM22	0	0	0
ADAM23	0	0	0
ADAM28	0	0	0
ADAM29	0	0	0
ADAM30	0	0	0
ADAM32	0	0	0
ADAM33	0	0	0
ADAM3A	0	0	0
ADAM5	0	0	0
ADAM5P	0	0	0
ADAM6	0	0	0
ADAM7	0	0	0
ADAM8	0	0	0
ADAM9	0	0	0
ADAMDEC1	0	0	0
ADAMTS1	0	0	0
ADAMTS10	0	0	0
ADAMTS12	0	0	0
ADAMTS13	0	0	0
ADAMTS14	0	0	0
ADAMTS15	0	0	0
ADAMTS16	0	0	0
ADAMTS17	0	0	0
ADAMTS18	0	0	0
ADAMTS19	0	0	0
ADAMTS2	0	0	0
ADAMTS20	0	0	0
ADAMTS3	0	0	0
ADAMTS4	0	0	0
ADAMTS5	0	0	0
ADAMTS6	0	0	0
ADAMTS7	0	0	0
ADAMTS8	0	0	0
ADAMTS9	0	0	0
ADAMTSL1	0	0	0
ADAMTSL2	0	0	0
ADAMTSL3	0	0	0
ADAMTSL4	0	0	0
ADAMTSL5	0	0	0
ADAP1	0	0	0
ADAP2	0	0	0
ADAR	0	0	0
ADARB1	0	0	0
ADARB2	0	0	0
ADAT1	0	0	0
ADAT2	0	0	0
ADAT3	0	0	0
ADC	0	0	0
ADCK1	0	0	0
ADCK2	0	0	0
ADCK4	0	0	0
ADCK5	0	0	0
ADCY1	0	0	0
ADCY10	0	0	0
ADCY2	0	0	0
ADCY3	0	0	0
ADCY4	0	0	0
ADCY5	0	0	0
ADCY6	0	0	0
ADCY7	0	0	0
ADCY8	0	0	0
ADCY9	0	0	0
ADCYAP1	0	0	0
ADCYAP1R1	0	0	0
ADD1	0	0	0
ADD2	0	0	0
ADD3	0	0	0
ADH1A	0	0	0
ADH1B	0	0	0
ADH1C	0	0	0
ADH4	0	0	0
ADH5	0	0	0
ADH6	0	0	0
ADH7	0	0	0
ADHFE1	0	0	0
ADI1	0	0	0
ADIG	0	0	0
ADIPOQ	0	0	0
ADIPOR1	0	0	0
ADIPOR2	0	0	0
ADK	0	0	0
ADM	0	0	0
ADM2	0	0	0
ADNP	0	0	0
ADNP2	0	0	0
ADO	0	0	0
ADORA1	0	0	0
ADORA2A	0	0	0
ADORA2B	0	0	0
ADORA3	0	0	0
ADPGK	0	0	0
ADPRH	0	0	0
ADPRHL1	0	0	0
ADPRHL2	1	0	0
ADRA1A	0	0	0
ADRA1B	0	0	0
ADRA1D	0	0	0
ADRA2A	0	0	0
ADRA2B	0	0	0
ADRA2C	0	0	0
ADRB1	0	0	0
ADRB2	0	0	0
ADRB3	0	0	0
ADRBK1	0	0	0
ADRBK2	0	0	0
ADRM1	0	1	0
ADSL	0	0	0
ADSS	0	0	0
ADSSL1	0	0	0
AEBP1	0	0	0
AEBP2	0	0	0
AEN	0	0	0
AES	0	0	0
AFAP1	0	0	0
AFAP1L1	0	0	0
AFAP1L2	0	0	0
AFAR3	0	0	0
AFARP1	0	0	0
AFF1	0	0	0
AFF2	0	0	0
AFF3	0	0	0
AFF4	0	0	0
AFG3L1	0	0	0
AFG3L2	0	0	0
AFM	0	0	0
AFMID	0	0	0
AFP	0	0	0
AFTPH	0	0	0
AGA	0	0	0
AGAP1	0	0	0
AGAP11	0	0	0
AGAP2	0	0	0
AGAP3	0	0	0
AGAP6	0	0	0
AGAP7	0	0	0
AGAP8	0	0	0
AGBL1	0	0	0
AGBL2	0	0	0
AGBL3	0	0	0
AGBL4	0	0	0
AGBL5	0	0	0
AGC1	0	0	0
AGER	0	0	0
AGFG1	-1	0	0
AGFG2	0	0	0
AGGF1	0	0	0
AGK	0	0	0
AGL	0	0	0
AGMAT	0	0	0
AGPAT1	0	0	0
AGPAT2	0	0	0
AGPAT3	0	0	0
AGPAT4	0	0	0
AGPAT5	0	0	0
AGPAT6	0	0	0
AGPAT9	0	0	0
AGPS	0	0	0
AGR2	0	0	0
AGR3	0	0	0
AGRN	0	0	0
AGRP	0	0	0
AGT	0	0	0
AGTPBP1	0	0	0
AGTR1	0	0	0
AGTR2	0	0	0
AGTRAP	0	0	0
AGXT	0	0	0
AGXT2	0	0	0
AGXT2L1	0	0	0
AGXT2L2	0	0	0
AHCTF1	-1	0	0
AHCY	0	0	0
AHCYL1	0	0	0
AHCYL2	0	0	0
AHDC1	0	0	0
AHI1	0	0	0
AHNAK	0	0	0
AHNAK2	0	0	0
AHR	0	0	0
AHRR	0	0	0
AHSA1	0	1	0
AHSA2	0	0	0
AHSG	0	0	0
AHSP	0	0	0
AICDA	0	0	0
AIDA	-1	0	0
AIF1	0	0	0
AIF1L	0	0	0
AIFM1	0	0	0
AIFM2	0	0	0
AIFM3	0	0	0
AIG1	0	0	0
AIM1	0	0	0
AIM1L	0	0	0
AIM2	0	0	0
AIMP2	1	0	0
AIP	0	0	0
AIPL1	0	0	0
AIRE	0	0	0
AJAP1	0	0	0
AK1	0	0	0
AK2	0	0	0
AK2P2	0	0	0
AK3	0	0	0
AK3L1	0	0	0
AK5	0	0	0
AK7	0	0	0
AKAP1	0	0	0
AKAP10	0	0	0
AKAP11	0	0	0
AKAP12	0	0	0
AKAP13	0	0	0
AKAP14	0	0	0
AKAP2	0	0	0
AKAP3	0	0	0
AKAP4	0	0	0
AKAP5	0	0	0
AKAP6	0	0	0
AKAP7	0	0	0
AKAP8	0	0	0
AKAP8L	0	0	0
AKAP9	0	0	0
AKIRIN1	0	0	0
AKIRIN2	0	0	0
AKNA	0	0	0
AKNAD1	0	0	0
AKR1A1	0	0	0
AKR1B1	0	0	0
AKR1B10	0	0	0
AKR1B15	0	0	0
AKR1C1	0	0	0
AKR1C2	0	0	0
AKR1C3	0	0	0
AKR1C4	0	0	0
AKR1CL1	0	0	0
AKR1D1	0	0	0
AKR1E2	0	0	0
AKR7A2	0	0	0
AKR7A3	0	0	0
AKR7L	0	0	0
AKT1	0	0	0
AKT1S1	0	0	0
AKT2	0	0	0
AKT3	0	0	0
AKTIP	0	0	0
ALAD	0	0	0
ALAS1	0	0	0
ALAS2	0	0	0
ALB	0	0	0
ALCAM	0	0	0
ALDH16A1	0	0	0
ALDH18A1	0	0	0
ALDH1A1	1	0	0
ALDH1A2	0	0	0
ALDH1A3	0	0	0
ALDH1B1	0	0	0
ALDH1L1	0	0	0
ALDH1L2	0	0	0
ALDH2	0	0	0
ALDH3A1	0	0	0
ALDH3A2	0	0	0
ALDH3B1	0	0	0
ALDH3B2	0	0	0
ALDH4A1	0	0	0
ALDH5A1	0	0	0
ALDH6A1	0	0	0
ALDH7A1	0	0	0
ALDH8A1	0	0	0
ALDH9A1	0	0	0
ALDOA	0	0	0
ALDOB	0	0	0
ALDOC	0	0	0
ALG1	0	0	0
ALG10	0	0	0
ALG10B	0	0	0
ALG11	0	0	0
ALG12	0	0	0
ALG13	0	0	0
ALG14	0	0	0
ALG1L	0	0	0
ALG2	0	0	0
ALG3	0	0	0
ALG5	0	0	0
ALG6	0	0	0
ALG8	0	0	0
ALG9	0	0	0
ALK	0	0	0
ALKBH1	1	0	0
ALKBH2	0	0	0
ALKBH3	0	0	0
ALKBH4	0	0	0
ALKBH5	0	0	0
ALKBH6	0	0	0
ALKBH7	0	0	0
ALKBH8	0	0	0
ALLC	0	0	0
ALMS1	0	0	0
ALMS1P	0	0	0
ALOX12	0	0	0
ALOX12B	0	0	0
ALOX12P2	0	0	0
ALOX15	0	0	0
ALOX15B	0	0	0
ALOX5	0	0	0
ALOX5AP	0	0	0
ALOXE3	0	0	0
ALPI	0	0	0
ALPK1	0	0	0
ALPK2	0	0	0
ALPK3	0	0	0
ALPL	0	0	0
ALPP	0	0	0
ALPPL2	0	0	0
ALS2	0	0	0
ALS2CL	0	0	0
ALS2CR11	0	0	0
ALS2CR12	0	0	0
ALS2CR14	0	0	0
ALS2CR16	0	0	0
ALS2CR4	0	0	0
ALS2CR8	0	0	0
ALX1	0	0	0
ALX3	0	0	0
ALX4	0	0	0
AMAC1	0	0	0
AMAC1L1	0	0	0
AMAC1L2	0	0	0
AMAC1L3	0	0	0
AMACR	0	0	0
AMBN	0	0	0
AMBP	0	0	0
AMBRA1	0	0	0
AMD1	0	0	0
AMDHD1	0	0	0
AMDHD2	0	0	0
AMELX	0	0	0
AMELY	0	0	0
AMFR	0	0	0
AMH	0	0	0
AMHR2	0	0	0
AMICA1	0	0	0
AMIGO1	0	0	0
AMIGO2	0	0	0
AMIGO3	0	0	0
AMMECR1	0	0	0
AMMECR1L	0	0	0
AMN	0	0	0
AMN1	0	0	0
AMOT	0	0	0
AMOTL1	0	0	0
AMOTL2	0	0	0
AMPD1	0	0	0
AMPD2	0	0	0
AMPD3	0	0	0
AMPH	0	0	0
AMT	0	0	0
AMTN	0	0	0
AMY1A	0	0	0
AMY1B	0	0	0
AMY1C	0	0	0
AMY2A	0	0	0
AMY2B	0	0	0
AMZ1	0	0	0
AMZ2	0	0	0
ANAPC1	0	0	0
ANAPC10	0	0	0
ANAPC11	0	0	0
ANAPC13	0	0	0
ANAPC2	0	0	0
ANAPC4	0	0	0
ANAPC5	0	0	0
ANAPC7	0	0	0
ANG	0	0	0
ANGEL1	0	0	0
ANGEL2	0	0	0
ANGPT1	0	0	0
ANGPT2	0	0	0
ANGPT4	0	0	0
ANGPTL1	0	0	0
ANGPTL2	0	0	0
ANGPTL3	0	0	0
ANGPTL4	0	0	0
ANGPTL5	0	0	0
ANGPTL6	0	0	0
ANGPTL7	0	0	0
ANK1	0	0	0
ANK2	0	0	0
ANK3	0	0	0
ANKAR	0	0	0
ANKDD1A	0	0	0
ANKFN1	0	0	0
ANKFY1	0	0	0
ANKH	0	0	0
ANKHD1	0	0	0
ANKHD1-EIF4EBP3	0	0	0
ANKIB1	0	0	0
ANKK1	0	0	0
ANKLE1	0	0	0
ANKLE2	0	0	0
ANKMY1	-1	0	0
ANKMY2	0	0	0
ANKRA2	-1	0	0
ANKRD1	0	0	0
ANKRD10	0	0	0
ANKRD11	0	0	0
ANKRD12	0	0	0
ANKRD13A	0	0	0
ANKRD13B	0	0	0
ANKRD13C	0	0	0
ANKRD13D	0	-1	0
ANKRD16	0	0	0
ANKRD17	0	0	0
ANKRD18A	0	0	0
ANKRD18B	0	0	0
ANKRD19	0	0	0
ANKRD2	0	0	0
ANKRD20A1	-1	-1	0
ANKRD20A2	0	0	0
ANKRD20A3	0	0	0
ANKRD20A4	0	0	0
ANKRD20B	0	0	0
ANKRD21	0	0	0
ANKRD22	0	0	0
ANKRD23	0	0	0
ANKRD24	0	0	0
ANKRD26	0	0	0
ANKRD27	0	0	0
ANKRD28	0	0	0
ANKRD29	0	0	0
ANKRD30A	0	0	0
ANKRD30B	0	0	0
ANKRD31	0	0	0
ANKRD32	0	0	0
ANKRD33	0	0	0
ANKRD34A	0	0	0
ANKRD34B	0	0	0
ANKRD34C	0	0	0
ANKRD35	0	0	0
ANKRD36	0	0	0
ANKRD36B	0	0	0
ANKRD37	0	0	0
ANKRD38	0	0	0
ANKRD39	0	0	0
ANKRD40	0	0	0
ANKRD41	0	0	0
ANKRD42	0	0	0
ANKRD43	0	0	0
ANKRD44	0	0	0
ANKRD45	0	0	0
ANKRD46	0	0	0
ANKRD47	0	0	0
ANKRD49	0	0	0
ANKRD5	0	0	0
ANKRD50	0	0	0
ANKRD52	0	0	0
ANKRD53	0	0	0
ANKRD54	0	0	0
ANKRD55	0	0	0
ANKRD56	0	0	0
ANKRD57	0	0	0
ANKRD58	0	0	0
ANKRD6	0	0	0
ANKRD7	0	0	0
ANKRD9	0	0	0
ANKS1A	1	0	0
ANKS1B	0	0	0
ANKS3	0	0	0
ANKS4B	0	0	0
ANKS6	0	0	0
ANKZF1	0	0	0
ANLN	0	0	0
ANO1	0	0	0
ANO10	0	0	0
ANO2	0	0	0
ANO3	0	0	0
ANO4	0	0	0
ANO5	0	0	0
ANO6	0	0	0
ANO7	0	0	0
ANO8	0	0	0
ANO9	0	0	0
ANP32A	0	0	0
ANP32B	0	0	0
ANP32C	0	0	0
ANP32D	0	0	0
ANP32E	0	0	0
ANPEP	0	0	0
ANRIL	0	0	0
ANTXR1	0	0	0
ANTXR2	0	0	0
ANTXRL	0	0	0
ANUBL1	0	0	0
ANXA1	0	0	0
ANXA10	0	0	0
ANXA11	0	0	0
ANXA13	0	0	0
ANXA2	0	0	0
ANXA2P1	0	0	0
ANXA2P2	0	0	0
ANXA2P3	0	0	0
ANXA3	0	0	0
ANXA4	0	0	0
ANXA5	1	0	0
ANXA6	0	0	0
ANXA7	0	0	0
ANXA8	0	0	0
ANXA8L1	0	0	0
ANXA8L2	0	0	0
ANXA9	0	0	0
AOAH	0	0	0
AOC2	0	0	0
AOC3	0	0	0
AOF2	0	0	0
AOX1	0	0	0
AOX2P	0	0	0
AP1B1	0	0	0
AP1G1	0	0	0
AP1G2	0	0	0
AP1GBP1	0	0	0
AP1M1	0	0	0
AP1M2	0	0	0
AP1S1	0	0	0
AP1S2	0	0	0
AP1S3	0	0	0
AP2A1	0	0	0
AP2A2	0	0	0
AP2B1	0	0	0
AP2M1	0	0	0
AP2S1	0	0	0
AP3B1	0	0	0
AP3B2	0	0	0
AP3D1	0	0	0
AP3M1	1	0	0
AP3M2	0	0	0
AP3S1	0	0	0
AP3S2	0	0	0
AP4B1	0	0	0
AP4E1	0	0	0
AP4M1	0	0	0
AP4S1	0	0	0
APAF1	1	0	0
APBA1	0	0	0
APBA2	0	0	0
APBA2BP	0	0	0
APBA3	0	0	0
APBB1	0	0	0
APBB1IP	1	0	0
APBB2	0	0	0
APBB3	0	0	0
APC	0	0	0
APC2	0	0	0
APCDD1	0	0	0
APCDD1L	0	0	0
APCS	0	0	0
APEG1	0	0	0
APEH	0	0	0
APEX1	0	0	0
APEX2	1	0	0
APH1A	0	0	0
APH1B	0	0	0
API5	0	0	0
APIP	0	0	0
APITD1	0	0	0
APLF	0	0	0
APLN	0	0	0
APLNR	0	0	0
APLP1	0	0	0
APLP2	0	0	0
APM-1	0	0	0
APOA1	0	0	0
APOA1BP	0	0	0
APOA2	0	0	0
APOA4	0	0	0
APOA5	0	0	0
APOB	0	0	0
APOB48R	0	0	0
APOBEC1	0	0	0
APOBEC2	0	0	0
APOBEC3A	0	0	0
APOBEC3B	0	0	0
APOBEC3C	0	0	0
APOBEC3D	0	0	0
APOBEC3F	0	0	0
APOBEC3G	0	0	0
APOBEC3H	0	0	0
APOBEC4	0	0	0
APOC1	0	0	0
APOC2	0	0	0
APOC3	0	0	0
APOC4	0	0	0
APOD	0	0	0
APOE	0	0	0
APOF	0	0	0
APOH	0	0	0
APOL1	0	0	0
APOL2	0	0	0
APOL3	0	0	0
APOL4	0	0	0
APOL5	0	0	0
APOL6	0	0	0
APOLD1	0	0	0
APOM	0	0	0
APOO	0	0	0
APOOL	0	0	0
APP	0	0	0
APPBP2	0	0	0
APPL1	0	0	0
APPL2	0	0	0
APRIN	0	0	0
APRT	0	0	0
APTX	0	0	0
AQP1	0	0	0
AQP10	0	0	0
AQP11	0	0	0
AQP12A	0	0	0
AQP12B	0	0	0
AQP2	0	0	0
AQP3	0	0	0
AQP4	0	0	0
AQP5	0	0	0
AQP6	0	0	0
AQP7	0	0	0
AQP7P1	0	0	0
AQP7P2	0	0	0
AQP8	0	0	0
AQP9	0	0	0
AQR	0	0	0
AR	0	0	0
ARAF	0	0	0
ARAP1	0	0	0
ARAP2	0	0	0
ARAP3	0	0	0
ARC	0	0	0
ARCN1	1	0	0
ARD1A	0	0	0
ARD1B	0	0	0
AREG	0	0	0
AREGB	0	0	0
ARF1	0	0	0
ARF3	0	0	0
ARF4	0	0	0
ARF5	0	0	0
ARF6	0	0	0
ARFGAP1	0	0	0
ARFGAP2	0	0	0
ARFGAP3	0	0	0
ARFGEF1	0	0	0
ARFGEF2	0	0	0
ARFIP1	0	0	0
ARFIP2	0	0	0
ARFRP1	0	0	0
ARG1	0	0	0
ARG2	0	0	0
ARG99	0	0	0
ARGFX	0	0	0
ARGFXP2	0	0	0
ARGLU1	0	0	0
ARHGAP1	0	0	0
ARHGAP10	0	0	0
ARHGAP11A	0	0	0
ARHGAP11B	0	0	0
ARHGAP12	0	0	0
ARHGAP15	0	0	0
ARHGAP17	0	0	0
ARHGAP18	0	0	0
ARHGAP19	0	0	0
ARHGAP20	0	0	0
ARHGAP21	0	0	0
ARHGAP22	0	0	0
ARHGAP23	0	0	0
ARHGAP24	0	0	0
ARHGAP25	0	0	0
ARHGAP26	0	0	0
ARHGAP27	0	0	0
ARHGAP28	0	0	0
ARHGAP29	0	0	0
ARHGAP30	0	0	0
ARHGAP4	0	0	0
ARHGAP5	0	0	0
ARHGAP6	0	0	0
ARHGAP8	0	0	0
ARHGAP9	0	0	0
ARHGDIA	0	0	0
ARHGDIB	0	0	0
ARHGDIG	0	0	0
ARHGEF1	0	0	0
ARHGEF10	0	0	0
ARHGEF10L	0	0	0
ARHGEF11	0	0	0
ARHGEF12	0	0	0
ARHGEF15	0	0	0
ARHGEF16	0	0	0
ARHGEF17	0	0	0
ARHGEF18	0	0	0
ARHGEF19	0	0	0
ARHGEF2	0	0	0
ARHGEF3	0	0	0
ARHGEF4	0	0	0
ARHGEF5	0	0	0
ARHGEF5L	0	0	0
ARHGEF6	0	0	0
ARHGEF7	0	0	0
ARHGEF9	0	0	0
ARID1A	0	0	0
ARID1B	0	0	0
ARID2	0	0	0
ARID3A	0	0	0
ARID3B	0	0	0
ARID3C	0	0	0
ARID4A	0	0	0
ARID4B	0	0	0
ARID5A	0	0	0
ARID5B	0	0	0
ARIH1	0	0	0
ARIH2	0	0	0
ARL1	0	0	0
ARL10	0	0	0
ARL11	0	0	0
ARL13A	0	0	0
ARL13B	0	0	0
ARL14	0	0	0
ARL15	0	0	0
ARL16	-1	0	0
ARL17B	0	0	0
ARL17P1	0	0	0
ARL2	0	0	0
ARL2BP	0	0	0
ARL3	0	0	0
ARL4A	-1	0	0
ARL4C	0	0	0
ARL4D	0	0	0
ARL5A	0	0	0
ARL5B	0	0	0
ARL5C	0	0	0
ARL6	0	0	0
ARL6IP1	0	0	0
ARL6IP4	0	0	0
ARL6IP5	0	0	0
ARL6IP6	0	0	0
ARL8A	0	0	0
ARL8B	0	0	0
ARL9	0	0	0
ARMC1	0	-1	0
ARMC10	0	0	0
ARMC2	0	0	0
ARMC3	0	0	0
ARMC4	0	0	0
ARMC5	0	0	0
ARMC6	0	0	0
ARMC7	0	0	0
ARMC8	0	0	0
ARMC9	0	0	0
ARMCX1	0	0	0
ARMCX2	0	0	0
ARMCX3	0	0	0
ARMCX4	0	0	0
ARMCX5	0	0	0
ARMCX6	0	0	0
ARMET	0	0	0
ARMS2	0	0	0
ARNT	0	0	0
ARNT2	0	0	0
ARNTL	0	0	0
ARNTL2	0	0	0
ARP11	0	0	0
ARPC1A	0	0	0
ARPC1B	0	0	0
ARPC2	0	0	0
ARPC3	0	0	0
ARPC4	0	0	0
ARPC5	0	0	0
ARPC5L	0	0	0
ARPM1	0	0	0
ARPM2	0	0	0
ARPP19	0	0	0
ARPP-21	0	0	0
ARR3	0	0	0
ARRB1	0	0	0
ARRB2	0	0	0
ARRDC1	0	0	0
ARRDC2	0	0	0
ARRDC3	-1	-1	0
ARRDC4	0	0	0
ARRDC5	0	0	0
ARS2	0	0	0
ARSA	0	0	0
ARSB	0	0	0
ARSD	0	0	0
ARSE	0	0	0
ARSF	0	0	0
ARSG	0	0	0
ARSH	0	0	0
ARSI	0	0	0
ARSJ	0	0	0
ARSK	0	0	0
ART1	0	0	0
ART3	0	0	0
ART4	0	0	0
ART5	0	0	0
ARTN	0	0	0
ARV1	0	0	0
ARVCF	0	0	0
ARVP6125	0	0	0
ARX	0	0	0
AS3MT	0	0	0
ASAH1	0	0	0
ASAH2	0	0	0
ASAH2B	0	0	0
ASAH2C	0	0	0
ASAM	0	0	0
ASAP1	0	-1	0
ASAP1IT1	0	0	0
ASAP2	0	0	0
ASAP3	0	0	0
ASB1	0	0	0
ASB10	0	0	0
ASB11	0	0	0
ASB12	0	0	0
ASB13	0	0	0
ASB14	0	0	0
ASB15	0	0	0
ASB16	0	0	0
ASB17	0	0	0
ASB18	0	0	0
ASB2	0	0	0
ASB3	0	0	0
ASB4	0	0	0
ASB5	0	0	0
ASB6	0	0	0
ASB7	0	0	0
ASB8	0	0	0
ASB9	0	0	0
ASCC1	0	0	0
ASCC2	0	0	0
ASCC3	0	0	0
ASCL1	0	0	0
ASCL2	0	0	0
ASCL3	0	0	0
ASCL4	0	0	0
ASCL5	0	0	0
ASF1A	0	0	0
ASF1B	0	0	0
ASFMR1	0	0	0
ASGR1	0	0	0
ASGR2	0	0	0
ASH1L	0	0	0
ASH2L	0	0	0
ASIP	0	0	0
ASL	0	0	0
ASMT	0	0	0
ASMTL	0	0	0
ASNA1	0	0	0
ASNS	0	0	0
ASNSD1	0	0	0
ASPA	0	0	0
ASPG	0	0	0
ASPH	0	0	0
ASPHD1	0	0	0
ASPHD2	0	0	0
ASPM	0	0	0
ASPN	0	0	0
ASPRV1	0	0	0
ASPSCR1	0	0	0
ASRGL1	0	0	0
ASS1	0	0	0
ASTE1	1	0	0
ASTL	0	0	0
ASTN1	0	0	0
ASTN2	0	0	0
ASXL1	0	0	0
ASXL2	0	-1	0
ASXL3	0	0	0
ASZ1	0	0	0
ATAD1	0	0	0
ATAD2	0	0	0
ATAD2B	0	0	0
ATAD3A	0	0	0
ATAD3B	0	0	0
ATAD3C	0	0	0
ATAD5	0	0	0
ATCAY	0	0	0
ATE1	0	0	0
ATF1	0	0	0
ATF2	0	0	0
ATF3	0	0	0
ATF4	0	0	0
ATF5	0	0	0
ATF6	0	0	0
ATF6B	0	0	0
ATF7	0	0	0
ATF7IP	0	0	0
ATF7IP2	0	0	0
